1,2,CT
1,3,MRI
1,4,Ultrasound Scan And Imaging
1,5,X-Rays Imaging
1,5,ECG
1,5,ECG
1,6,ECHO
1,7,EEG
1,8,GENETICS
1,9,Histopathology
1,10,Cytology
1,11,Biochemistry
1,12,Blood Tests
1,13,Microbiology
1,14,Serology
2,1,Typhoid Vaccine
2,2,Hepatitis A Vaccine
2,3,Adult Hepatitis B Vaccine
2,4,"Diptheria, Tetanus, IPV"
2,5,Rabies Vaccine
2,6,Influenza Vaccine
2,7,Cervical Cancer Vaccine
2,8,"MMR (Mumps, Measles, Rubella)"
2,9,Chickenpox Vaccine
2,10,"MMR, Chicken Pox"
2,11,Inactivated Polio Vaccine (IPV)
2,12,Measles Vaccine
2,13,Hepatitis A and B Vaccine
2,14,Meningitis Vaccine Conjugate
2,15,Meningitis Vaccine 
2,16,"HIB, DPT, HEP B"
2,17,"HIB,  DTaP, IPV"
2,18,"DTaP, IPV"
2,19,Rotavirus Vaccine
2,20,PNEUMOCOCCAL CONJUGATE
2,21,TETANUS TOXOID
2,22,YELLOW FEVER VACCINE
2,23,Cholera Vaccine
2,24,TETANUS IMMUNOGLOBULIN BP HUMAN
2,25,HEPATITIS B IMMUNOGLOBULIN 180iu
2,26,ANTI SNAKE VENOM
2,27,Rho (D) IMMUNOGLOBULIN
2,28,OXYTOCIN 10IU (PACK OF 10)
2,29,SALBUTAMOL NEBULES 5MG
2,30,ENOXAPARIN 4000IU/0.4ML INJ
2,31,LAMIVUDINE
2,32,"HYALURONIDASE 1,500IU INJ (PACK OF 6)"
2,33,"STREPTOKINASE 1,500,000IU INJ"
2,34,VITAMIN K
2,35,Paediatric Vaccines
3,1,General Physician
3,2,Psychiatrist
3,3,Hypertension
3,4,Diabetes
3,5,Cardiology
3,6,Pulmonology
3,7,Nephrology
3,8,Rheumatology
3,9,Endocrinology
3,10,Pain
3,11,Arthritis
3,12,Ante-Natal 
3,13,Geriatric
3,14,Urology
3,15,Neurology
3,16,Gastro-Intestinal
3,17,NeuroSurgery
3,18,Physiotherapy
3,19,Oncology Consultation
3,21,Paediatrics
3,22,ENT
3,23,Dermatology
3,24,Paediatric Surgeon
3,25,Orthopaedic Surgeon
3,26,Opthalmologist
3,27,Sleep Clinic
4,1,DENTAL
4,2,EYE
4,3,Excisions and Biopsy
4,4,Endoscopy
4,5,Chest & Abdomino-Pelvic Procedures
4,6,Orthopaedic Prcedures  
4,7,Obstetrics/Gyneacological Procedures
4,8,Ante-Natal Care
4,9,Ear/Nose/Throat Procedures   
4,10,Opthalmology Procedures
4,11,Critical Care Procedures
4,12,Mental Health Procedures
4,13,Cranial Procedures
4,14,Dialysis
4,15,Audiometry
4,16,Wound Dressing
4,17,Exchange Blood Transfusion
4,18,Nebulisation
4,19,Other Procedures
5,1,Breast Cancer
5,2,Cervical Cancer
5,3,Prostate Cancer
5,4,Colon Cancer
5,5,Uterine Cancer
5,6,Liver Cancer
5,7,Lung Cancer
5,8,Stomach Cancer
5,9,Brain Cancer
5,1,Health Checks
6,2,Health Checks
6,3,Health Checks
6,4,Health Checks
6,5,Health Checks
6,6,Health Checks
6,7,Health Checks
6,8,Health Checks
6,9,Health Checks
6,10,Health Checks
7,1,Heart Tracker
8,1,United Kingdom
8,2,USA
8,3,Dubai
8,4,India
8,5,Singapore
8,6,Germany
8,7,Turkey
8,8,South Africa
8,9,Other Countries
8,10,France
9,1,Medical Concierge
10,1,Health Insurance
11,1,Talk To A Doctor
12,1,Gym & Fitness Services
13,1,Weight Management
13,2,Dietician Consultation
14,1,Ambulance & Medical Assistance
14,2,Ambulance & Medical Assistance
14,3,Ambulance & Medical Assistance
15,1,Air Ambulance
