date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:04	14560/14560	---MCZ	200	added ('OK')	text/html	etag:W/%2238e0-552b1d3b79df9%22	http://deothemes.com/envato/emaus/emaus_html/index.html	deothemes.com/envato/emaus/emaus_html/index.html	(from )
17:37:04	67/67	---M--	200	added ('OK')	text/plain	date:Fri,%2008%20Sep%202017%2016:37:04%20GMT	http://deothemes.com/robots.txt		(from )
17:37:04	21775/21775	---MCZ	200	added ('OK')	text/css	etag:W/%22593bb495-550f%22	http://deothemes.com/envato/emaus/emaus_html/css/bootstrap.min.css	deothemes.com/envato/emaus/emaus_html/css/bootstrap.min.css	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:05	9553/9553	---MCZ	200	added ('OK')	text/css	etag:W/%22593bb494-2551%22	http://deothemes.com/envato/emaus/emaus_html/css/font-icons.css	deothemes.com/envato/emaus/emaus_html/css/font-icons.css	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:05	94404/94404	---MCZ	200	added ('OK')	text/css	etag:W/%2259524067-170c4%22	http://deothemes.com/envato/emaus/emaus_html/css/style.css	deothemes.com/envato/emaus/emaus_html/css/style.css	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:05	894/894	---M--	200	added ('OK')	image/x-icon	etag:%22593bb2b6-37e%22	http://deothemes.com/envato/emaus/emaus_html/img/favicon.ico	deothemes.com/envato/emaus/emaus_html/img/favicon.ico	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:08	88615/88615	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Sep%202017%2016:37:05%20GMT	http://deothemes.com/envato/emaus/emaus_html/img/apple-touch-icon.png	deothemes.com/envato/emaus/emaus_html/img/apple-touch-icon.png	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:08	2170/2170	---M--	200	added ('OK')	image/png	etag:%22593bb2b5-87a%22	http://deothemes.com/envato/emaus/emaus_html/img/apple-touch-icon-72x72.png	deothemes.com/envato/emaus/emaus_html/img/apple-touch-icon-72x72.png	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:08	3251/3251	---M--	200	added ('OK')	image/png	etag:%22593bb2b4-cb3%22	http://deothemes.com/envato/emaus/emaus_html/img/apple-touch-icon-114x114.png	deothemes.com/envato/emaus/emaus_html/img/apple-touch-icon-114x114.png	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:08	2151/2151	---M--	200	added ('OK')	image/png	etag:%22593bb2b7-867%22	http://deothemes.com/envato/emaus/emaus_html/img/logo_dark.png	deothemes.com/envato/emaus/emaus_html/img/logo_dark.png	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:08	2095/2095	---M--	200	added ('OK')	image/png	etag:%22593bb2bc-82f%22	http://deothemes.com/envato/emaus/emaus_html/img/logo_light.png	deothemes.com/envato/emaus/emaus_html/img/logo_light.png	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
